"Part";"Value";"Device";"Package";"Description";"APPLICATION_BUILDNUMBER";"BUILT_BY";"COMPTYPE";"COPYRIGHT";"DATASHEET";"DATASHEET_URL";"DESCRIPTION";"DIGIKEY";"FAMILY_NAME";"GENERIC_PART_NUMBER";"INDUSTRY_STD_PKG_TYPE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MOUNTTYPE";"MOUSER";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGEREFERENCE";"PACKAGE_DESIGNATOR";"PARTNUMBER";"PIN_COUNT";"POPULARITY";"REFDES";"ROHS";"SOURCELIBRARY";"SPICEPREFIX";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VENDOR";
"C23";"22u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"399-17625-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"54";"";"";"";"C";"";"";"";"";
"C24";"220p";"C-EUC1808";"C1808";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"478-10448-2-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"C";"";"";"";"";
"C25";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"478-7962-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"C";"";"";"";"";
"C26";"100n";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"478-7962-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"C";"";"";"";"";
"C51";"1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"1276-6471-1-ND";"";"";"";"";"";"";"";"81-GRM21BZ71E106KE5L ";"";"";"";"";"";"";"";"88";"";"";"";"C";"";"";"";"";
"CLK+";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"CLK-";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"CONV";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"";"";"";"";"";"732-5316-ND";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"48";"";"";"";"";"";"";"";"";
"CONVERSION";"ADUM4120-1ARIZ";"ADUM4120-1ARIZ";"RI_6_1_ADI";"";"";"Analog Devices Inc.";"";"";"";"";"";"ADUM4120-1ARIZ-ND";"";"";"";"";"ADUM4120-1ARIZ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Analog_2017-10-24";"";"";"";"";"Analog Devices Inc";
"CONV_A";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"CONV_T";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"C_FILTER";"330p";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"478-9885-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"C";"";"";"";"";
"C_FILTER1";"nb";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"478-08055C121KAT2ACT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"C";"";"";"";"";
"D+";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"D-";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"DC-DC_CONVERTER";"TDN_3-1211WI";"TDN_3-1211WI";"TDN3_TRP";"";"";"EMA_Justin";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"https://www.tracopower.com/products/tdn3wi.pdf";"";"";"TDN3-1211WISM-ND";"";"";"";"";"TDN 3-1211WI";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traco_Power_2020-05-19";"";"";"";"";"Traco Power";
"DE_CLK";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"DE_DATA";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"DGND";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FILTER";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FLIP-FLOP";"74HC74PW";"74HC74PW-Q100,118";"TSSOP14_SOT402-1_NEX";"";"";"EMA_Cory";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"https://assets.nexperia.com/documents/data-sheet/74HC_HCT74_Q100.pdf";"";"";"1727-4083-1-ND";"";"";"";"";"74HC74PW-Q100,118";"";"";"";"";"";"";"";"";"";"";"";"";"";"Nexperia_2020-08-04";"";"";"";"";"Nexperia";
"GND1";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"GND2";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"GND3";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"GND5";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"GND_4";"GND4";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"GOLD_ORB_SM1";"OSHWLOGOLOGO8MM";"OSHWLOGOLOGO8MM";"OSHW_8MM";"The OSHW logo for PCB layout";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H1";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";
"H2";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";
"H3";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";
"H4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";
"I2C";"ADUM1251";"ADUM1251WARZ";"R_8_ADI";"";"";"EMA_UL_Team";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"ADUM1251ARZ-RL7TR-ND";"";"";"";"";"ADUM1251WARZ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Analog_2019-03-08";"";"";"";"";"Analog Devices Inc";
"INSTR_AMP";"AD8250ARMZ";"AD8250ARMZ";"RM_10_ADI";"";"";"EMA_UL_Team";"";"";"";"";"";"AD8250ARMZ-R7TR-ND";"";"";"";"";"AD8250ARMZ";"";"";"";"";"";"";"";"";"";"";"";"";"";"Analog_2015-12-15";"";"";"";"";"Analog Devices Inc";
"L1";"6u8";"SM-NE29";"SM-NE29";"INDUCTOR";"";"";"";"";"";"";"";"1951-1045-ND";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"1";"";"";"";"";"";"";"";"";
"LED2";"gr";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";"754-1435-1-ND";"";"";"";"";"";"";"";" 604-APT2012SGC ";"";"";"";"";"";"";"";"17";"";"";"";"";"";"";"";"";
"MINUS";"23.3200-21";"23.3200-21";"CONN_23.3200-21_SBI";"";"";"EMA_Cory";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"501-73099-0-ND";"";"";"";"";"23.3200-21";"";"";"";"";"";"";"";"";"";"";"";"";"";"Staubli_2020-01-16";"";"";"";"";"Stäubli";
"MOV1";"CV300CVQ300K10BL1";"CV300CVQ300K10BL1";"CVQ300K10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ON/OFF";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"";"";"";"";"";"732-5316-ND";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"48";"";"";"";"";"";"";"";"";
"PIN_HEADER_SMD";"";"MA05-2";"MA05-2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"14";"";"";"";"";"";"";"";"";
"PLUS";"23.3200-21";"23.3200-21";"CONN_23.3200-21_SBI";"";"";"EMA_Cory";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"501-73099-2-ND";"";"";"";"";"23.3200-21";"";"";"";"";"";"";"";"";"";"";"";"";"";"Staubli_2020-01-16";"";"";"";"";"Stäubli";
"POWER";"gr";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";"754-1435-1-ND";"";"";"";"";"";"";"";" 604-APT2012SGC ";"";"";"";"";"";"";"";"17";"";"";"";"";"";"";"";"";
"R1";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"P10KDATR-ND";"";"";"";"";"";"";"";"652-CR0805JW-561ELF ";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R2";"1k5";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"P1.5KDATR-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R3";"680";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"A129747TR-ND";"";"";"";"";"";"";"";"652-CR0805JW-561ELF ";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R4";"nb";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"check config";"";"";"";"";"";"";"";"41";"";"";"";"R";"";"";"";"";
"R5";"nb";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"check config";"";"";"";"";"";"";"";"41";"";"";"";"R";"";"";"";"";
"R6";"220";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"Y1624195R000Q9R-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R7";"220";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"Y1624195R000Q9R-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R9";"120";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"Y1629-120DTR-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R10";"390k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"2019-RK73H2ATTD3903FTR-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R11";"0";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"RMCF0805ZT0R00TR-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R12";"47k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"A130144TR-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R13";"inf";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R14";"nb";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"check config";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R15";"120";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"Y1629-120DTR-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R16";"220";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"Y1624195R000Q9R-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R17";"220";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"Y1624195R000Q9R-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R21";"680";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"A129747TR-ND";"";"";"";"";"";"";"";"652-CR0805JW-561ELF ";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R53";"nb";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"check config";"";"";"";"";"";"";"";"41";"";"";"";"R";"";"";"";"";
"R57";"nb";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"check config";"";"";"";"";"";"";"";"41";"";"";"";"R";"";"";"";"";
"R58";"nb";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"check config";"";"";"";"";"";"";"";"41";"";"";"";"R";"";"";"";"";
"REF";"LT6654";"LT6654AIS6-2.048TRMPBF";"S_6_ADI";"";"";"EMA_Jessica";"";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"";"";"";"161-LT6654BHS6-2.048#WTRPBFTR-ND";"";"";"";"";"LT6654AIS6-2.048#TRMPBF";"";"";"";"";"";"";"";"";"";"";"";"";"";"Analog_Devices_2018-09-28";"";"";"";"";"Analog Devices Inc";
"REF_2.048";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RJ45";"GLX-S-88M";"GLX-S-88M";"GLX-S-88M";"Mod. Jack, Right Angle, 8 posiotion, 8 contatcs RJ45";"";"";"";"";"";"";"";"2092-GLX-S-88M-ND";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"3";"";"";"";"";"";"";"";"";
"ROHM_I2C";"BR24T1MF-3AM";"BR24T1MF-3AM";"BR24T1MFJ-3AM";"";"";"";"";"";"";"";"";"BR24T1MF-3AME2TR-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_FILTER";"2k2";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"A106060TR-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"R_FILTER1";"nb";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"P220DACT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"R";"";"";"";"";
"SATURATION_DETECT";"ADCMP670";"ADCMP670-1YUJZ-RL7";"UJ_6_ADI";"";"";"EMA_UL_Team";"";"";"";"";"";"ADCMP670-1YUJZ-RL7TR-ND";"";"";"";"";"ADCMP670-1YUJZ-RL7";"";"";"";"";"";"";"";"";"";"";"";"";"";"Analog_2015-01-06";"";"";"";"";"Analog Devices Inc";
"SCK";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"";"";"";"";"";"732-5316-ND";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"48";"";"";"";"";"";"";"";"";
"SCK_A";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"SCK_T";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"SDO";"";"MA03-1";"MA03-1";"PIN HEADER";"";"";"";"";"";"";"";"732-5316-ND";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"48";"";"";"";"";"";"";"";"";
"SDO_A";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"SDO_T";"PTR1B1,27";"PTR1B1,27";"B1,27";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";
"SERIAL_CLOCK";"ADM2486BRWZ";"ADM2486BRWZ-REEL";"RW_16_ADI";"";"";"EMA_UL_Team";"";"";"";"";"";"ADM2486BRWZ-REELTR-ND";"";"";"";"";"ADM2486BRWZ-REEL";"";"";"";"";"";"";"";"";"";"";"";"";"";"Analog_2012-01-01_7";"";"";"";"";"Analog Devices Inc";
"SERIAL_DATA";"ADM2486";"ADM2486BRWZ-REEL";"RW_16_ADI";"";"";"EMA_UL_Team";"";"";"";"";"";"ADM2486BRWZ-REELTR-ND";"";"";"";"";"ADM2486BRWZ-REEL";"";"";"";"";"";"";"";"";"";"";"";"";"";"Analog_2012-01-01_7";"";"";"";"";"Analog Devices Inc";
"SHIFT_REGISTER";"TCA9534ADWT";"TCA9534ADWT";"PW16_TEX";"";"";"EMA_UL_Team";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"296-45201-2-ND";"";"";"";"";"TCA9534ADWT";"";"";"";"";"";"";"";"";"";"";"";"";"";"TI_2019-03-28";"";"";"";"";"Texas Instruments";
"SN74LVC1G32";"74LVC1G32";"SN74LVC1G32DCKTDCK5-M";"DCK5-M";"";"";"";"";"";"";"http://www.ti.com/lit/gpn/SN74LVC1G32";"Single 2-Input Positive-OR Gate";"";"LL OR GATE";"SN74LVC1G32";"SC70";"Texas Instruments";"SN74LVC1G32DCKT";"";"";"";"";"";"";"";"DCK";"";"5";"";"";"";"";"";"";"";"";"Texas Instruments";
"TP1";"TPSTP20SQ";"TPSTP20SQ";"TP20SQ";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";
"TP2";"TPSTP20SQ";"TPSTP20SQ";"TP20SQ";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";
"TP3";"TPSTP20SQ";"TPSTP20SQ";"TP20SQ";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";
"TP4";"TPSTP20SQ";"TPSTP20SQ";"TP20SQ";"TEST PIN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";
"U$1";"0508.500MXEP";"0508.500MXEP";"0508.500MXEP";"";"";"";"";"";"";"";"";"283-4458-1-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$20";"MAX4564UMAX";"MAX4564UMAX";"UMAX8";"";"";"";"";"";"";"";"";"MAX4565EAP+-ND";"";"";"";"";"";"";"";"700-MAX4564EUA ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"VCC";"TESTPIN";"TESTPIN";"1X01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
